pekerjaan,tujuan_pinjaman,agunan,tipe_agunan,status_agunan_terburuk,kondisi_agunan,asuransi_agunan,status_lunas_agunan,jumlah_agunan,nilai_agunan,tenor,usia_agunan,agunan_dibanyak_pinjaman,merk_aset,kesediaan_untuk_digadaikan,jenis_asset_bergerak_atau_tidak,aset_maya,riwayat_agunan_sebelumnya,kemudahan_dijual_kembali,kenaikan_nilai_property_agunan,status_kepemilikan_asset,surat_berharga,cluster,cluster_label
Tidak_Bekerja,Tempat Tinggal,Bangunan,Berwujud,0.0,Meragukan,True,Belum Lunas,9.0,63719374.0,108,9,Ya,Merk_F,Ya,Ya,-1.0,Pernah,Cukup,15.0,Pribadi,1.0,0.0,tidak layak
Staf_Lainnya,Tempat Tinggal,Bangunan,Berwujud,0.0,Meragukan,True,Belum Lunas,9.0,37100827.0,86,8,Tidak,Merk_G,Tidak,Ya,-1.0,Pernah,Meragukan,5.0,Pribadi,1.0,0.0,tidak layak
Ibu_Rumah_Tangga,Tempat Tinggal,Surat Berharga,Tak berwujud,0.0,Lemah,True,Belum Lunas,2.0,130835.0,59,11,Tidak,Merk_G,Ya,Tidak,0.0,Pernah,Meragukan,16.0,Non-Pribadi,1.0,0.0,tidak layak
Pelajar,Gaya Hidup,Hak Kekayaan Intelektual,Tak berwujud,0.0,Resiko Tinggi,False,Belum Lunas,6.0,21400940.0,16,1,Ya,Merk_D,Tidak,Ya,-1.0,Pernah,Kuat,0.0,Pribadi,1.0,1.0,layak
Wartawan/Reporter/Jurnalis/Editor,Bisnis/Usaha,Tanah,Berwujud,0.0,Lemah,True,Lunas,9.0,63113860.0,51,8,Tidak,Merk_C,Ya,Ya,1.0,Tidak Pernah,Kuat,11.0,Pribadi,1.0,1.0,layak
Supervisor/asisten_manager,Kesehatan,Rekening Tabungan dan Deposito,Berwujud,0.0,Cukup,False,Lunas,10.0,3313984.0,9,2,Tidak,Merk_J,Ya,Ya,-1.0,Tidak Pernah,Resiko Tinggi,17.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,True,Lunas,8.0,27555782.0,17,2,Ya,Merk_K,Tidak,Ya,1.0,Pernah,Cukup,18.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Sangat Kuat,False,Lunas,4.0,131229.0,19,5,Ya,Merk_C,Tidak,Ya,0.0,Pernah,Kuat,19.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Bisnis/Usaha,Rumah,Berwujud,0.0,Meragukan,False,Lunas,6.0,32478861.0,26,5,Tidak,Merk_A,Tidak,Tidak,2.0,Tidak Pernah,Meragukan,17.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Gaya Hidup,Tanah,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,1.0,35753257.0,13,5,Ya,Merk_E,Tidak,Tidak,-1.0,Tidak Pernah,Cukup,2.0,Non-Pribadi,1.0,1.0,layak
